一级功能点,二级功能点,功能点描述
"首页","数据资产概览","展示总资产、数据表、指标、标签、质量评分、今日访问等统计卡片，并提供刷新与设置操作"
"首页","趋势与分布图","展示访问趋势、质量趋势、资产分布以及访问热力图"
"首页","快速入口与动态","提供快速入口、最近活动与热门资产模块"
"资产目录","高级搜索","支持关键词、联想、历史、热门与趋势搜索，URL 参数同步"
"资产目录","筛选面板","支持类型、部门等多维筛选，联动更新列表"
"资产目录","资产列表","分页展示资产，含加载态与错误提示"
"资产详情","基本信息","展示名称、类型、负责人、部门、创建/更新时间、访问次数与标签等"
"资产详情","字段信息","表字段结构明细表格展示"
"资产详情","血缘信息","表血缘与字段级血缘可视化展示"
"资产详情","数据预览","内嵌数据预览组件查看样例数据"
"资产详情","评论与编辑","评论发布与跳转至资产编辑页"
"资产开发","资产列表","资产搜索、筛选、分页与质量评分"
"资产开发","创建与编辑","新建/编辑数据表、指标、标签，支持通过 URL 参数直达"
"资产开发","复制与删除","一键复制资产与删除操作"
"资产开发","模板管理","基于模板新建资产"
"资产开发","版本历史","查看版本比对并支持恢复"
"资产开发","概览统计","展示我的资产、草稿、已发布等统计指标"
"我的资产","列表与统计","个人资产统计与管理，聚焦我的资产视角"
"我的资产","创建编辑删除","新建、编辑、复制、删除与过滤"
"我的资产","类型化表单","依据资产类型渲染不同表单（表/指标/标签）"
"数据治理","治理概览","数据标准、质量规则、质量分数、合规率等指标与健康度概览"
"数据治理","数据标准","标准清单维护与管理"
"数据治理","质量规则","质量规则配置与管理"
"数据治理","元数据管理","元数据维护与完善"
"数据治理","治理报告","治理报告查看"
"数据治理","告警与建议","展示治理告警并给出处理建议，支持快捷操作"
"敏捷分析","资产选择","从资产列表中选择分析对象并展示统计信息"
"敏捷分析","数据预览","预览数据并一键创建图表"
"敏捷分析","图表分析","基于选中数据进行可视化图表分析"
"敏捷分析","报表设计","内嵌报表设计入口，支持保存"
"敏捷分析","数据导出","将分析数据导出为 CSV 文件"
"敏捷分析","独立编辑器","提供看板编辑器与增强报表设计器独立全屏路由"
"自助取数","分步流程","可视化 5 步：选择数据表→配置关联→选择字段→配置查询→查看结果"
"自助取数","智能关联","基于外键关系给出 JOIN 建议并支持手动配置"
"自助取数","SQL 预览与执行","自动生成 SQL，支持预览与执行模拟，展示结果表"
"自助取数","查询历史","查看并复用历史查询记录"
"自助取数","导出与设置","支持导出 Excel/PDF，行数限制设置与重置"
"看板设计","看板管理","看板列表、创建、编辑、删除，模板库占位与功能说明"
"报表设计","报表管理","报表列表、创建与编辑，更多操作（复制/导出/分享占位）"
"系统管理","系统概览","指标卡片、系统健康、服务状态、最近活动与系统告警"
"系统管理","用户管理","用户管理页面"
"系统管理","角色权限","角色与权限管理页面"
"系统管理","目录管理","数据目录管理页面"
"系统管理","系统设置","系统基础设置页面"
"系统管理","操作日志","操作日志页面"
"系统管理","其他模块","权限配置/连接管理/通知配置/系统状态/性能监控/日志管理（路由占位，开发中）"
"全局","布局与导航","顶部导航与菜单，路由重定向与 404 兜底"
