一级功能点,二级功能点,三级功能点,功能点描述
首页,-,-,首页总览：展示统计卡（总资产/数据表/指标/标签/质量评分/今日访问），一键刷新统计、跳转设置页；呈现资产分布、访问趋势、质量趋势、访问热力图；提供快速入口、最近活动、热门资产。
资产目录,-,-,资产检索：支持关键词联想、历史/热门/趋势提示；筛选面板按资产类型、部门等多维过滤；结果列表分页、加载/错误提示、点击跳转详情。
资产目录,资产详情,-,资产详情页：展示基本信息（名称/类型/负责人/部门/标签/创建与更新时间/访问次数）、字段信息表格、血缘信息（表级/字段级可视化）、数据预览、评论提交、编辑资产跳转。
资产开发,我的资产,-,我的资产管理：搜索（名称/描述），按状态（草稿/开发中/待审核/已发布/已下线）与类型（表/指标/标签）筛选；表格查看质量评分、更新时间、快捷操作（查看/编辑/复制/版本/删除）。
资产开发,开发状态,开发中,按“开发中”状态筛选资产，支持分页、排序与快速跳转编辑。
资产开发,开发状态,待审核,按“待审核”状态筛选资产，支持分页、审查前的查看与编辑。
资产开发,开发状态,已发布,按“已发布”状态筛选资产，查看发布时间与质量评分，支持复制为新版本。
资产开发,开发状态,已下线,按“已下线”状态筛选资产，查看下线原因与时间，支持重新上架流程（预留）。
资产开发,模板管理,-,模板管理：浏览内置模板，基于模板一键生成新资产，自动补齐字段与示例配置。
资产开发,版本管理,-,版本管理：查看资产版本历史、差异对比、选择版本回滚/恢复并触发列表刷新。
资产治理,数据标准,命名规范,命名规范管理：维护对象命名规则（前缀/大小写/分隔符等），校验提示与示例，版本化发布。
资产治理,数据标准,数据字典,数据字典：按域/分类管理标准字段名、业务含义、取值范围、示例、合规标签；支持导入/导出。
资产治理,数据标准,业务术语,业务术语库：维护业务术语、同义词、定义、所属域，支持关联资产与影响面展示。
资产治理,数据标准,词根管理,词根管理：统一维护字段词根（如 user/order），配置中文/英文释义、组合规则、适用范围。
资产治理,数据标准,字段管理,字段管理：集中维护标准字段（数据类型、长度、是否主键/外键、描述），批量校验与应用建议。
资产治理,质量管理,质量规则,质量规则：新增/编辑规则（完整性/准确性/一致性/有效性/唯一性），配置SQL与阈值、Cron计划，手动运行并查看最近分数与详情。
资产治理,质量管理,质量报告,质量报告：按表/主题汇总质量分，展示趋势、问题分布与整改建议，支持导出。
资产治理,质量管理,质量监控,质量监控：规则运行状态看板、近况告警、失败重试入口与负责人路由（预留）。
资产治理,安全管理,访问控制,访问控制：按角色/用户配置功能与数据访问权限，支持批量授权与审计记录（预留）。
资产治理,安全管理,敏感数据,敏感数据：识别PII字段，标注敏感等级与脱敏策略，导出整改清单（预留）。
资产治理,安全管理,审计日志,审计日志：记录关键操作（创建/修改/发布/删除/授权等），支持按用户/时间/模块过滤（预留）。
敏捷分析,自助取数,-,自助取数（5步）：选择数据表（支持多表），配置JOIN（智能建议/手动），选择字段（支持聚合/别名），配置查询（条件/逻辑/行数限制），查看结果（分页表格），支持SQL预览与执行、历史复用、导出Excel/PDF、重置。
敏捷分析,看板设计,-,看板管理：列表、创建、编辑、删除；创建向导（名称/描述），进入独立编辑器路由；模板库占位。
敏捷分析,报表设计,-,报表中心：列表与状态（草稿/已发布），新建跳转增强报表设计器，更多操作（复制/导出/分享占位）。
系统管理,目录管理,-,目录管理：树形目录配置（名称/类型/可见性/排序/适用类型/描述），行内编辑、增删、搜索、全部展开/合上、本地持久化（模拟），发布并退出。
系统管理,用户管理,用户列表,用户管理：搜索、状态筛选；创建/编辑（用户名/昵称/邮箱/手机号/部门/职位/角色/状态/备注），导出CSV；分配角色、启用/禁用/锁定、删除；表格含联系方式与部门展示。
系统管理,角色管理,-,角色管理：维护角色（名称/编码/描述），配置权限点，支持为用户分配/撤销（预留）。
系统管理,权限配置,-,权限配置：以功能模块维度配置细粒度权限（阅读/编辑/发布/授权等），支持按角色批量设置（预留）。
系统管理,系统配置,基础设置,系统基础设置：平台基础信息、主题、首页模块开关、国际化与时间格式（预留）。
系统管理,系统配置,连接管理,连接管理：数据源/消息/缓存等连接的增删改查，健康检查与测试（预留）。
系统管理,系统配置,通知配置,通知配置：告警/审批/系统消息的渠道与模板（邮件/短信/站内信）管理（预留）。
系统管理,监控运维,系统状态,系统状态：系统健康度、CPU/内存/磁盘/网络指标卡；服务状态一览（DB/缓存/邮件/通知）。
系统管理,监控运维,性能监控,性能监控：核心接口耗时分布、错误率趋势、慢查询汇总（预留）。
系统管理,监控运维,日志管理,操作日志：查询导出、按模块/用户/时间过滤；关键事件标注（预留）。
全局,布局与导航,-,全局导航：顶部Header主菜单（首页/资产目录/资产开发/资产治理/敏捷分析/系统管理），侧边菜单随激活模块切换；自适应折叠；移动端抽屉导航。
